Transaction ID,Customer ID,Book Title,Author,Genre,Purchase Method,Payment Method,Stock Before,Stock After,Loyalty Points,Promotion Applied,Discount Applied,Order Status,Restock Triggered
5b59eb01,178ecc,Atomic Habits,James Clear,Self-Help,Online,Online Payment,35,33,20,"Buy One, Get One Free",0,Completed,No
f5d3d939,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Online Payment,23,20,0,,0,Completed,No
e90aff40,6b92b5,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,6,4,20,,0,Completed,Yes
dc9f27c3,Guest,Educated,Tara Westover,Memoir,In-Store,Online Payment,46,44,0,,0,Completed,No
209ab70b,0425df,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,35,32,30,"Buy 3 Books, Get 1 Free",0,Completed,No
1f2c41f2,6d7f47,Dune,Frank Herbert,Sci-Fi,Online,Cash,37,35,20,Flat 50% Discount,50,Completed,No
a886f215,eab43a,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,49,47,20,Flat 50% Discount,50,Completed,No
2d164a07,235308,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,24,22,20,Flat 50% Discount,50,Completed,No
fe88fbf5,6a4d0d,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,14,11,30,Flat 50% Discount,50,Completed,No
6d20cde8,742d50,Becoming,Michelle Obama,Biography,Online,Online Payment,34,33,10,,0,Completed,No
d0e550a0,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,32,30,0,,0,Completed,No
38d5ff6f,0cda0e,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,5,4,10,Flat 50% Discount,50,Completed,Yes
32aee874,946a0b,Becoming,Michelle Obama,Biography,Online,Online Payment,37,35,20,"Buy 3 Books, Get 1 Free",0,Completed,No
a2993ec4,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Online Payment,31,28,0,,0,Completed,No
7a5c67a3,d4c6df,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,50,49,10,Earn 2x Reward Points,0,Completed,No
bc2a44c7,b82ee7,Becoming,Michelle Obama,Biography,Online,Cash,22,21,10,Earn 2x Reward Points,0,Completed,No
0dc21d12,d70001,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,50,49,10,Earn 2x Reward Points,0,Completed,No
2facce14,addbbf,Dune,Frank Herbert,Sci-Fi,Online,Cash,43,40,30,Flat 50% Discount,50,Completed,No
580e56e4,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,42,39,0,,0,Completed,No
eb4657fa,e23d5b,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,5,4,10,"Buy 3 Books, Get 1 Free",0,Completed,Yes
de0e6375,99a45a,Educated,Tara Westover,Memoir,Online,Card,34,31,30,"Buy 3 Books, Get 1 Free",0,Completed,No
302887fe,71de73,Educated,Tara Westover,Memoir,Online,Card,41,40,10,"Buy 3 Books, Get 1 Free",0,Completed,No
f6e7dcc8,7c6f5e,Educated,Tara Westover,Memoir,Online,Cash,32,31,10,"Buy One, Get One Free",0,Completed,No
4412ce52,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Online Payment,47,45,0,,0,Completed,No
412e589d,01b62d,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,29,28,10,,0,Completed,No
df6548e3,24244a,Atomic Habits,James Clear,Self-Help,Online,Online Payment,35,33,20,"Buy 3 Books, Get 1 Free",0,Completed,No
de69e7c9,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,11,9,0,,0,Completed,No
5ff7ddb2,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,34,32,0,,0,Completed,No
18bd02ae,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,25,22,0,,0,Completed,No
d13eb1b2,32ec55,The Midnight Library,Matt Haig,Fantasy,Online,Card,15,14,10,Flat 50% Discount,50,Completed,No
a552f3c1,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Online Payment,34,32,0,,0,Completed,No
6dde6a80,101cb6,Atomic Habits,James Clear,Self-Help,Online,Online Payment,12,9,30,,0,Completed,No
6780c913,164926,Atomic Habits,James Clear,Self-Help,Online,Card,49,47,20,,0,Completed,No
b341d283,6e2d4b,Atomic Habits,James Clear,Self-Help,Online,Cash,39,36,30,Flat 50% Discount,50,Completed,No
79bf6618,5.90E+187,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,25,24,10,"Buy 3 Books, Get 1 Free",0,Declined (Insufficient Funds),No
b27ede8f,56731,Educated,Tara Westover,Memoir,Online,Cash,11,10,10,"Buy One, Get One Free",0,Completed,No
7.90E+09,4dd9bc,Becoming,Michelle Obama,Biography,Online,Cash,16,14,20,Flat 50% Discount,50,Completed,No
5ef675fb,8.16E+12,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,28,27,10,,0,Completed,No
4295af55,ed2712,Becoming,Michelle Obama,Biography,Online,Cash,31,28,30,"Buy 3 Books, Get 1 Free",0,Completed,No
c16d984a,d85a08,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,46,44,20,"Buy 3 Books, Get 1 Free",0,Completed,No
2df92011,13bbf3,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,14,11,30,"Buy One, Get One Free",0,Completed,No
f85d870b,d61efb,Atomic Habits,James Clear,Self-Help,Online,Online Payment,34,32,20,"Buy 3 Books, Get 1 Free",0,Completed,No
96b7ae8a,e670c8,Becoming,Michelle Obama,Biography,Online,Card,35,34,10,"Buy 3 Books, Get 1 Free",0,Completed,No
002b8bc2,ac570d,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,33,30,30,Flat 50% Discount,50,Completed,No
a7b348e6,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,45,44,0,,0,Completed,No
bbb61fc2,9b9591,Atomic Habits,James Clear,Self-Help,Online,Cash,49,46,30,,0,Completed,No
9ed0989c,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Online Payment,15,13,0,,0,Completed,No
43237478,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,14,13,0,,0,Completed,No
dd8f352d,72dada,Becoming,Michelle Obama,Biography,Online,Cash,16,13,30,Earn 2x Reward Points,0,Completed,No
1ab687e9,Guest,1984,George Orwell,Dystopian,In-Store,Online Payment,36,33,0,,0,Completed,No
0d748055,Guest,1984,George Orwell,Dystopian,In-Store,Card,30,29,0,,0,Completed,No
96d6b3fa,e657d4,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,47,45,20,Flat 50% Discount,50,Completed,No
0ac20578,f5af82,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,27,26,10,"Buy One, Get One Free",0,Completed,No
64a22ff4,Guest,Educated,Tara Westover,Memoir,In-Store,Online Payment,12,9,0,,0,Completed,No
4f8b4723,41d182,Becoming,Michelle Obama,Biography,Online,Card,43,40,30,,0,Completed,No
e1446a12,b59fa4,Educated,Tara Westover,Memoir,Online,Online Payment,40,38,20,Earn 2x Reward Points,0,Completed,No
